1,0,100.0,0,100.0
2,0,100.0,42,142.0
3,0,100.0,84,184.0
4,0,100.0,126,226.0
5,0,100.0,168,268.0
6,0,100.0,210,310.0
7,0,100.0,252,352.0
8,0,100.0,294,394.0
9,0,100.0,336,436.0
10,0,100.0,378,478.0
11,0,100.0,420,520.0
12,42,142.0,0,100.0
13,42,142.0,42,142.0
14,42,142.0,84,184.0
15,42,142.0,126,226.0
16,42,142.0,168,268.0
17,42,142.0,210,310.0
18,42,142.0,252,352.0
19,42,142.0,294,394.0
20,42,142.0,336,436.0
21,42,142.0,378,478.0
22,42,142.0,420,520.0
23,84,184.0,0,100.0
24,84,184.0,42,142.0
25,84,184.0,84,184.0
26,84,184.0,126,226.0
27,84,184.0,168,268.0
28,84,184.0,210,310.0
29,84,184.0,252,352.0
30,84,184.0,294,394.0
31,84,184.0,336,436.0
32,84,184.0,378,478.0
33,84,184.0,420,520.0
34,126,226.0,0,100.0
35,126,226.0,42,142.0
36,126,226.0,84,184.0
37,126,226.0,126,226.0
38,126,226.0,168,268.0
39,126,226.0,210,310.0
40,126,226.0,252,352.0
41,126,226.0,294,394.0
42,126,226.0,336,436.0
43,126,226.0,378,478.0
44,126,226.0,420,520.0
45,168,268.0,0,100.0
46,168,268.0,42,142.0
47,168,268.0,84,184.0
48,168,268.0,126,226.0
49,168,268.0,168,268.0
50,168,268.0,210,310.0
51,168,268.0,252,352.0
52,168,268.0,294,394.0
53,168,268.0,336,436.0
54,168,268.0,378,478.0
55,168,268.0,420,520.0
56,210,310.0,0,100.0
57,210,310.0,42,142.0
58,210,310.0,84,184.0
59,210,310.0,126,226.0
60,210,310.0,168,268.0
61,210,310.0,210,310.0
62,210,310.0,252,352.0
63,210,310.0,294,394.0
64,210,310.0,336,436.0
65,210,310.0,378,478.0
66,210,310.0,420,520.0
67,252,352.0,0,100.0
68,252,352.0,42,142.0
69,252,352.0,84,184.0
70,252,352.0,126,226.0
71,252,352.0,168,268.0
72,252,352.0,210,310.0
73,252,352.0,252,352.0
74,252,352.0,294,394.0
75,252,352.0,336,436.0
76,252,352.0,378,478.0
77,252,352.0,420,520.0
78,294,394.0,0,100.0
79,294,394.0,42,142.0
80,294,394.0,84,184.0
81,294,394.0,126,226.0
82,294,394.0,168,268.0
83,294,394.0,210,310.0
84,294,394.0,252,352.0
85,294,394.0,294,394.0
86,294,394.0,336,436.0
87,294,394.0,378,478.0
88,294,394.0,420,520.0
